Suspicious File,Top 5 Candidate Documents,Status,Precision,Recall,F1 Score,Average Precision,Average Recall,Average F1-Score
suspicious-document00152.txt,"source-document05228.txt, source-document08441.txt, source-document05256.txt, source-document00938.txt, source-document03108.txt",Soft Pass,0.2,0.5,0.285714286,0.2125,0.86,0.3343
suspicious-document00607.txt,"source-document10371.txt, source-document04134.txt, source-document09760.txt, source-document02597.txt, source-document07556.txt",Pass,0.2,1,0.333333333,,,
suspicious-document02003.txt,"source-document08169.txt, source-document10390.txt, source-document08675.txt, source-document08578.txt, source-document00097.txt",Pass,0.4,1,0.571428571,,,
suspicious-document02034.txt,"source-document08224.txt, source-document04502.txt, source-document06405.txt, source-document06680.txt, source-document07892.txt",Pass,0.2,1,0.333333333,,,
suspicious-document02065.txt,"source-document02078.txt, source-document01105.txt, source-document08279.txt, source-document01277.txt, source-document01888.txt",Pass,0.2,1,0.333333333,,,
suspicious-document04736.txt,"source-document08890.txt, source-document01197.txt, source-document05150.txt, source-document10054.txt, source-document07116.txt",Pass,0.2,1,0.333333333,,,
suspicious-document04868.txt,"source-document10730.txt, source-document03688.txt, source-document06175.txt, source-document04200.txt, source-document09037.txt",Fail,0,0,0,,,
suspicious-document05002.txt,"source-document03404.txt, source-document07173.txt, source-document10019.txt, source-document06931.txt, source-document05199.txt",Pass,0.2,1,0.333333333,,,
suspicious-document05658.txt,"source-document03838.txt, source-document00181.txt, source-document04754.txt, source-document06163.txt, source-document07806.txt",Fail,0,0,0,,,
suspicious-document06601.txt,"source-document08044.txt, source-document09851.txt, source-document08351.txt, source-document11002.txt, source-document02505.txt",Soft Pass,0.4,0.666666667,0.5,,,
suspicious-document07414.txt,"source-document08039.txt, source-document01769.txt, source-document06773.txt, source-document10981.txt, source-document10244.txt",Pass,0.4,1,0.571428571,,,
suspicious-document07830.txt,"source-document07866.txt, source-document04987.txt, source-document00671.txt, source-document06763.txt, source-document07695.txt",Pass,0.2,1,0.333333333,,,
suspicious-document08067.txt,"source-document03552.txt, source-document05512.txt, source-document03108.txt, source-document08412.txt, source-document02827.txt",Pass,0.4,1,0.571428571,,,
